System:,Log-Version,0.1,Lib-Version,4.4
PC:,Host-Name,W7-DESKTOP-1,Time,2014-04-23T13:44:43.5726266Z




SignalName: time [ms],D0 P,D0 V,D0 A,D1 P,D1 V,D1 A
Uri: ,,,,,,
Unit: ms,rad,rad/s,rad/s^2,rad,rad/s,rad/s^2
22.1,-0.1908850041,-5.7154192924,2390.1916503906,0.8224046815,-37.5660858154,366.5053405762
22.2,-0.1914446786,-5.4788999557,2340.1916503906,0.8186499744,-37.5269355774,416.5052490234
22.3,-0.1919809505,-5.2473812103,2290.19140625,0.8148994553,-37.4827842712,466.5053405762
22.4,-0.1924943216,-5.0208621025,2240.1916503906,0.811153583,-37.433631897,516.5052490234
22.5,-0.1929852897,-4.7993426323,2190.1916503906,0.8074128905,-37.3794822693,566.5054321289
22.6,-0.1934543569,-4.5828237534,2140.19140625,0.8036778676,-37.3203315735,616.5053710938
22.7,-0.1939020211,-4.371304512,2090.1916503906,0.799948998,-37.2561798096,666.5052490234
22.8,-0.1943287845,-4.1647853851,2040.1916503906,0.7962267806,-37.1870307922,716.5053710938
22.9,-0.1947351451,-3.9632663727,1990.1916503906,0.7925117514,-37.1128845215,766.5053710938
23,-0.195121604,-3.7667472363,1940.1916503906,0.7888043849,-37.0337295532,816.5052490234
23.1,-0.1954886609,-3.5752282143,1890.1916503906,0.7851051805,-36.9495811462,866.5053710938
23.2,-0.1958368163,-3.3887085915,1840.1916503906,0.7814146252,-36.8604278564,916.5053100586
23.3,-0.196166569,-3.2071895599,1790.1917724609,0.7777332678,-36.7662811279,966.5051269531
23.4,-0.1964784207,-3.030670166,1740.1916503906,0.7740615371,-36.6671295166,1016.5052490234
23.5,-0.1967728696,-2.859151125,1690.1916503906,0.7703999938,-36.5629768372,1066.5053710938
23.6,-0.1970504177,-2.6926321983,1640.1916503906,0.7667491096,-36.4538269043,1116.5053710938
23.7,-0.1973115634,-2.5311129093,1590.1916503906,0.7631093932,-36.339679718,1166.5053710938
23.8,-0.1975568067,-2.3745937347,1540.1916503906,0.7594813446,-36.2205276489,1216.5053710938
23.9,-0.1977866484,-2.2230746746,1490.1916503906,0.7558654645,-36.0963745117,1266.5052490234
24,-0.1980015875,-2.0765554905,1440.1916503906,0.7522622303,-35.9672279358,1316.5051269531
24.1,-0.1982021264,-1.9350364208,1390.1916503906,0.748672164,-35.8330764771,1366.5053710938
24.2,-0.1983887613,-1.798517108,1340.1916503906,0.7450957883,-35.6939239502,1416.5053710938
24.3,-0.1985619962,-1.6669983864,1290.1916503906,0.7415335809,-35.5497741699,1466.5053710938
24.4,-0.1987223283,-1.5404789448,1240.1916503906,0.7379860077,-35.4006233215,1516.5052490234
24.5,-0.1988702577,-1.4189600945,1190.1916503906,0.7344535915,-35.2464752197,1566.5050048828
24.6,-0.1990062874,-1.3024405241,1140.1916503906,0.7309368674,-35.0873222351,1616.5053710938
24.7,-0.1991309135,-1.1909217834,1090.1916503906,0.7274362985,-34.9231719971,1666.5053710938
24.8,-0.199244638,-1.0844022036,1040.1916503906,0.7239523979,-34.7540206909,1716.5053710938
24.9,-0.1993479603,-0.9828829765,990.1917724609,0.7204856658,-34.5798721313,1766.5053710938
25,-0.1994413811,-0.8863638639,940.1915893555,0.7170366021,-34.400718689,1816.5051269531
25.1,-0.1995253986,-0.7948442101,890.1917724609,0.7136056961,-34.2165718079,1866.5051269531
25.2,-0.1996005169,-0.7083255053,840.1917114258,0.710193435,-34.0274200439,1916.5053710938
25.3,-0.1996672306,-0.6268059015,790.1916503906,0.706800377,-33.8332672119,1966.5053710938
25.4,-0.1997260437,-0.5502867699,740.1917724609,0.7034269543,-33.6341171265,2016.5053710938
25.5,-0.1997774572,-0.4787674248,690.1915283203,0.7000737083,-33.4299697876,2066.5053710938
25.6,-0.1998219645,-0.4122487307,640.1916503906,0.6967411274,-33.2208175659,2116.5053710938
25.7,-0.1998600732,-0.3507290483,590.1917114258,0.6934297113,-33.0066680908,2166.5053710938
25.8,-0.1998922794,-0.2942104042,540.1915893555,0.6901399605,-32.7875175476,2216.5053710938
25.9,-0.1999190815,-0.2426905334,490.1918029785,0.6868723752,-32.5633659363,2266.5053710938
26,-0.1999409827,-0.1961717457,440.1917114258,0.6836274548,-32.3342170715,2316.5053710938
26.1,-0.1999584837,-0.1546526849,390.1916503906,0.680405698,-32.100063324,2366.5053710938
26.2,-0.1999720798,-0.1181335598,340.1918334961,0.6772076066,-31.8609161377,2416.5053710938
26.3,-0.1999822758,-0.0866145343,290.1917114258,0.6740336809,-31.6167640686,2466.5053710938
26.4,-0.1999895718,-0.0600952506,240.1916656494,0.6708844209,-31.3676147461,2516.5053710938
26.5,-0.199994461,-0.0385760814,190.1918182373,0.6677603249,-31.1134605408,2566.5053710938
26.6,-0.1999974537,-0.022057021,140.1917114258,0.6646618955,-30.8543128967,2616.5053710938
26.7,-0.1999990401,-0.0105380779,90.1916656494,0.6615896299,-30.5901641846,2666.5053710938
26.8,-0.199999727,-0.0040186783,40.1918106079,0.6585440277,-30.3210105896,2716.5053710938
26.9,-0.1999999604,-0.0010050038,20.0957832336,0.6555255933,-30.0468616486,2766.5053710938
27,-0.199999994,0,9.81E-005,0.652534825,-29.7677097321,2816.5053710938
27.1,-0.2,0,0,0.6495722204,-29.4835605621,2866.5053710938
27.2,-0.2,0,0,0.6466382779,-29.1944084167,2916.5053710938
27.3,-0.2,0,0,0.6437335033,-28.9002609253,2966.5053710938
27.4,-0.2,0,0,0.6408583669,-28.601934433,3000
27.5,-0.2,0,0,0.6380131743,-28.3019332886,3000
27.6,-0.2,0,0,0.6351979806,-28.0019340515,3000
27.7,-0.2,0,0,0.6324127873,-27.7019348145,3000
27.8,-0.2,0,0,0.6296575943,-27.4019355774,3000
27.9,-0.2,0,0,0.6269324003,-27.101934433,3000
28,-0.2,0,0,0.6242372077,-26.8019332886,3000
28.1,-0.2,0,0,0.6215720137,-26.5019340515,3000
28.2,-0.2,0,0,0.6189368204,-26.2019348145,3000
28.3,-0.2,0,0,0.6163316276,-25.90193367,3000
28.4,-0.2,0,0,0.6137564341,-25.6019325256,3000
28.5,-0.2,0,0,0.6112112405,-25.3019332886,3000
28.6,-0.2,0,0,0.6086960461,-25.0019340515,3000
28.7,-0.2,0,0,0.6062108532,-24.7019348145,3000
28.8,-0.2,0,0,0.6037556601,-24.40193367,3000
28.9,-0.2,0,0,0.6013304666,-24.101934433,3000
29,-0.2,0,0,0.5989352718,-23.8019332886,3000
29.1,-0.2,0,0,0.596570079,-23.5019340515,3000
29.2,-0.2,0,0,0.5942348863,-23.2019348145,3000
29.3,-0.2,0,0,0.591929693,-22.9019355774,3000
29.4,-0.2,0,0,0.5896544992,-22.6019325256,3000
29.5,-0.2,0,0,0.5874093072,-22.3019332886,3000
29.6,-0.2,0,0,0.5851941127,-22.0019340515,3000
29.7,-0.2,0,0,0.5830089198,-21.7019348145,3000
29.8,-0.2,0,0,0.5808537258,-21.4019317627,3000
29.9,-0.2,0,0,0.5787285336,-21.1019325256,3000
30,-0.2,0,0,0.5766333377,-20.8019332886,3000
30.1,-0.2,0,0,0.5745681433,-20.5019340515,3000
